,Text in Sade_Justine,Text in B,Location in Sade_Justine,Location in B
Sade_Infortunes_37,"rèse, la première vertu de ma MAISON, C'EST LA PROBITÉ; SI JAMAIS VOUS DÉTOURNIEZ D'ICI LA DIXIÈME PARTIE D'UN DENIER, JE VOUS FERAIS PENDRE, VOYEZ-VOUS, mon enfant. Le peu de douceu","ière vertu qu'il faut dans ma MAISON, C'EST LA PROBITÉ... SI JAMAIS VOUS DÉTOURNIEZ D'ICI LA DIXIÈME PARTIE D'UN DENIER, JE VOUS FERAIS PENDRE, VOYEZ-VOUS, Sophie, mais pendre jusqu'à ","(40699, 40821)","(31914, 32038)"
Sade_Infortunes_38,"vous beaucoup, ma petite ? 
--QUELQUES ONCES DE PAIN PAR JOUR, MONSIEUR, LUI RÉPONDIS-JE, DE L'EAU ET UN PEU DE SOUPE, QUAND JE SUIS ASSEZ HEUREUSE POUR EN AVOIR. 
--DE LA SOUPE MORBLEU, DE LA SOUPE REGARDEZ, MA MIE, DIT l'usurier à sa femme, gémisse","ous beaucoup, mon enfant ? 
--QUELQUES ONCES DE PAIN PAR JOUR, MONSIEUR, LUI RÉPONDIS-JE, DE L'EAU, ET UN PEU DE SOUPE QUAND JE SUIS ASSEZ HEUREUSE POUR EN AVOIR. 
--DE LA SOUPE, MORBLEU, DE LA SOUPE... REGARDEZ, MA MIE, DIT le vieil avare à sa femme, gé","(40998, 41188)","(32291, 32485)"
Sade_Infortunes_39,"ravaillons comme des forçats; VOUS AUREZ TROIS ONCES DE PAIN PAR JOUR, MA FILLE, UNE DEMI-BOUTEILLE D'EAU DE RIVIÈRE, UNE VIEILLE ROBE DE MA FEMME TOUS LES DIX-HUIT MOIS ET TROIS ÉCUS DE GAGES AU BOUT DE L'ANNÉE, SI NOUS SOMMES CONTENTS DE VOS SERVICES, SI VOTRE ÉCONOMIE RÉPOND À LA NÔTRE, ET SI VOUS FAITES ENFIN prospérer la maison par de l'"," forçats depuis quarante ans. VOUS AUREZ TROIS ONCES DE PAIN PAR JOUR, MA FILLE, UNE DEMI-BOUTEILLE D'EAU DE RIVIÈRE, UNE VIEILLE ROBE DE MA FEMME TOUS LES DIX-HUIT MOIS POUR VOUS FAIRE DES JUPONS ET TROIS ÉCUS DE GAGES AU BOUT DE L'ANNÉE SI NOUS SOMMES CONTENTS DE VOS SERVICES, SI VOTRE ÉCONOMIE RÉPOND À LA NÔTRE ET SI VOUS FAITES ENFIN, par de l'ordre et de l'arran","(41419, 41703)","(32754, 33063)"
Sade_Infortunes_40,"yer quatre ou cinq heures par JOUR À FAIRE DU LINGE, DES BAS, DES BONNETS ET AUTRES PETITS MEUBLES DE MÉNAGE. VOUS VOYEZ QUE CE N'EST RIEN, THÉRÈSE; IL VOUS RESTERA BIEN DU TEMPS, NOUS vous permettrons d'en faire u","er, et d'employer le reste du JOUR À FAIRE DU LINGE, DES BAS, DES BONNETS ET AUTRES PETITS MEUBLES DE MÉNAGE. VOUS VOYEZ QUE CE N'EST RIEN, SOPHIE, IL VOUS RESTERA BIEN DU TEMPS À VOUS, nous vous permettrons de l'e","(42188, 42342)","(33586, 33740)"
Sade_Infortunes_41,"infiniment plus d'ouvrage que MES FORCES NE ME PERMETTAIENT D'ENTREPRENDRE, MAIS POUVAIS-JE VIVRE AVEC CE QU'ON M'OFFRAIT ? JE ME GARDAI POURTANT BIEN DE FAIRE LA DIFFICILE, ET JE FUS INSTALLÉE DÈS LE MÊME SOIR. 
SI ma cruelle situation permetta","plus d'ouvrage que mon âge et MES FORCES NE ME PERMETTAIENT D'ENTREPRENDRE, MAIS POUVAIS-JE VIVRE AVEC CE QU'ON M'OFFRAIT ? JE ME GARDAI POURTANT BIEN DE FAIRE LA DIFFICILE, ET JE FUS INSTALLÉE DÈS LE MÊME SOIR. 
SI la cruelle position dans laqu","(42657, 42842)","(34081, 34266)"
Sade_Infortunes_42,"serais vous raconter quelques TRAITS D'AVARICE DONT JE FUS TÉMOIN DANS CETTE MAISON; MAIS UNE CATASTROPHE SI TERRIBLE POUR MOI M'Y ATTENDAIT DÈS LA SECONDE ANNÉE, QU'IL M'EST BIEN difficile de vous arrêter sur","is en vous racontant tous les TRAITS D'AVARICE DONT JE FUS TÉMOIN DANS CETTE MAISON, MAIS UNE CATASTROPHE SI TERRIBLE POUR MOI M'Y ATTENDAIT DÈS LA DEUXIÈME ANNÉE, QU'IL M'EST BIEN difficile quand j'y réfléchis","(42994, 43143)","(34496, 34646)"
Sade_Infortunes_43,"s, on n'y touchait de la vie; IL Y AVAIT AUX MANCHES DE LA VESTE DE MONSIEUR, AINSI QU'À CELLES DE LA ROBE DE MADAME, UNE VIEILLE PAIRE DE MANCHETTES COUSUES APRÈS L'ÉTOFFE, ET QUE JE LAVAIS TOUS LES SAMEDIS AU SOIR; point de drap, point de serv","linge ils n'en usaient point, IL Y AVAIT AUX MANCHES DE LA VESTE DE MONSIEUR, AINSI QU'À CELLES DE LA ROBE DE MADAME, UNE VIEILLE PAIRE DE MANCHETTES COUSUE APRÈS L'ÉTOFFE ET QUE JE LAVAIS TOUS LES SAMEDIS AU SOIR afin qu'elle fût en état le d","(43539, 43724)","(35087, 35270)"
Sade_Infortunes_44,"ne corbeille sous le couteau, AFIN DE RECUEILLIR CE QUI TOMBAIT : ON Y JOIGNAIT AVEC EXACTITUDE TOUTES LES MIETTES QUI POUVAIENT SE FAIRE AUX REPAS, ET ce mets, frit le dimanche, av","plaçait une corbeille dessous AFIN DE RECUEILLIR CE QUI TOMBAIT, ON Y JOIGNAIT AVEC EXACTITUDE TOUTES LES MIETTES QUI POUVAIENT SE FAIRE AUX REPAS, ET tout cela frit le dimanche av","(44038, 44159)","(35723, 35843)"
Sade_Infortunes_45,"sait le plat de festin de ces JOURS DE REPOS; JAMAIS IL NE FALLAIT BATTRE LES HABITS NI LES MEUBLES, DE PEUR DE LES USER, MAIS LES HOUSSER LÉGÈREMENT AVEC UN PLUMEAU. LES SOULIERS DE MONSIEUR, ainsi que ceux de Madame, ét","osait le plat de festin de ce JOUR DE REPOS. JAMAIS IL NE FALLAIT BATTRE LES HABITS NI LES MEUBLES, DE PEUR DE LES USER, MAIS LES HOUSSER LÉGÈREMENT AVEC UN PLUMEAU; LES SOULIERS DE MONSIEUR et de madame étaient doublés ","(44245, 44406)","(35933, 36093)"
Sade_Infortunes_46,"s de fer, c'étaient les mêmes QUI LEUR AVAIENT SERVI LE JOUR DE LEURS NOCES. MAIS UNE PRATIQUE BEAUCOUP PLUS BIZARRE ÉTAIT CELLE QU'ON ME FAISAIT EXERCER UNE FOIS LA SEMAINE : IL Y AVAIT DANS L'APPARTEMENT UN ASSEZ GRAND CABINET DONT LES MURS N'ÉTAIENT POINT TAPISSÉS; IL FALLAIT QU'AVEC UN COUTEAU J'ALLASSE RÂPER UNE CERTAINE QUANTITÉ DE PLÂTRE DE CES MURS, QUE JE PASSAIS ENSUITE DANS UN TAMIS fin; ce qui résultait de cett","t encore avec vénération ceux QUI LEUR AVAIENT SERVI LE JOUR DE LEURS NOCES; MAIS UNE PRATIQUE BEAUCOUP PLUS BIZARRE ÉTAIT CELLE QU'ON ME FAISAIT EXERCER RÉGULIÈREMENT UNE FOIS DANS LA SEMAINE. IL Y AVAIT DANS L'APPARTEMENT UN ASSEZ GRAND CABINET DONT LES MURS N'ÉTAIENT POINT TAPISSÉS; IL FALLAIT QU'AVEC UN COUTEAU J'ALLASSE RÂPER UNE CERTAINE QUANTITÉ DU PLÂTRE DE CES MURS, QUE JE PASSAIS ENSUITE DANS UN TAMIS fin, et ce qui résultait de c","(44478, 44844)","(36193, 36577)"
Sade_Infortunes_47,is ensuite dans un tamis fin; CE QUI RÉSULTAIT DE CETTE OPÉRATION DEVENAIT LA POUDRE DE TOILETTE DONT J'ORNAIS CHAQUE MATIN ET LA PERRUQUE DE MONSIEUR ET LE CHIGNON DE MADAME. Ah plût à Dieu que ces turpi,"ensuite dans un tamis fin, et CE QUI RÉSULTAIT DE CETTE OPÉRATION DEVENAIT LA POUDRE DE TOILETTE DONT J'ORNAIS CHAQUE MATIN ET LA PERRUQUE DE MONSIEUR ET LE CHIGNON DE MADAME. Plût à Dieu que ces turpides","(44850, 44994)","(36586, 36730)"
Sade_Infortunes_48,"r et le chignon de Madame. Ah PLÛT À DIEU QUE CES TURPITUDES EUSSENT ÉTÉ LES SEULES OÙ SE FUSSENT LIVRÉES CES VILAINES GENS RIEN DE PLUS NATUREL QUE LE DÉSIR DE CONSERVER SON BIEN; MAIS CE QUI NE L'EST PAS AUTANT, C'EST L'ENVIE DE l'augmenter de celui des autr","ieur et le chignon de madame. PLÛT À DIEU QUE CES TURPIDES EUSSENT ÉTÉ LES SEULES OÙ SE FUSSENT LIVRÉES CES VILAINES GENS; RIEN DE PLUS NATUREL QUE LE DÉSIR DE CONSERVER SON BIEN, MAIS CE QUI NE L'EST PAS AUTANT, C'EST L'ENVIE DE le doubler avec celui d'autru","(44999, 45199)","(36732, 36931)"
Sade_Infortunes_49,"issait du Harpin. 
Il logeait AU-DESSUS DE NOUS UN PARTICULIER FORT À SON AISE, POSSÉDANT D'ASSEZ JOLIS BIJOUX, ET DONT LES EFFETS, SOIT À CAUSE DU VOISINAGE, SOIT POUR avoir passé par les mains de ","devenait si riche. Il y avait AU-DESSUS DE NOUS UN PARTICULIER FORT À SON AISE, POSSÉDANT D'ASSEZ JOLIS BIJOUX ET DONT LES EFFETS, SOIT À CAUSE DU VOISINAGE, SOIT POUR lui avoir peut-être passé par","(45341, 45479)","(37086, 37223)"
Sade_Infortunes_50,"rouvaient très connus de lui; JE LUI ENTENDAIS SOUVENT REGRETTER AVEC SA FEMME UNE CERTAINE BOÎTE D'OR DE TRENTE À QUARANTE LOUIS, QUI LUI SERAIT INFAILLIBLEMENT RESTÉE, DISAIT-IL, s'il avait su s'y prendre av","nt très connus de mon maître. JE LUI ENTENDAIS SOUVENT REGRETTER AVEC SA FEMME UNE CERTAINE BOÎTE D'OR DE TRENTE À QUARANTE LOUIS QUI LUI SERAIT INFAILLIBLEMENT RESTÉE, DISAIT-IL, si son procureur avait eu un","(45555, 45704)","(37300, 37448)"
Sade_Infortunes_51," prendre avec plus d'adresse. POUR SE CONSOLER ENFIN D'AVOIR RENDU CETTE BOÎTE, L'HONNÊTE M. DU HARPIN PROJETA DE LA VOLER, ET CE FUT MOI QU'ON CHARGEA DE LA NÉGOCIATION. 
APRÈS M'AVOIR FAIT UN GRAND DISCOURS SUR L'INDIFFÉRENCE DU VOL, SUR L'UTILITÉ MÊME DONT IL ÉTAIT DANS le monde, puisqu'il y rétabli","u un peu plus d'intelligence; POUR SE CONSOLER ENFIN D'AVOIR RENDU CETTE BOÎTE, L'HONNÊTE M. DU HARPIN PROJETA DE LA VOLER ET CE FUT MOI QU'ON CHARGEA DE LA NÉGOCIATION. 
APRÈS M'AVOIR FAIT UN GRAND DISCOURS SUR L'INDIFFÉRENCE DU VOL, SUR L'UTILITÉ MÊME DONT IL ÉTAIT DANS la société puisqu'il rétablis","(45753, 45996)","(37504, 37746)"
Sade_Infortunes_52,"ter incessamment cette boîte, ET QUE POUR UN SERVICE AUSSI ESSENTIEL, JE RECEVRAIS PENDANT DEUX ANS UN ÉCU DE PLUS SUR MES GAGES. 
--OH MONSIEUR, M'ÉCRIAI-JE EN FRÉMISSANT DE LA PROPOSITION, EST-IL POSSIBLE QU'UN MAÎTRE OSE CORROMPRE AINSI SON DOMESTIQUE QUI M'EMPÊCHE DE FAIRE TOURNER CONTRE VOUS LES ARMES QUE VOUS ME METTEZ À LA MAIN, ET QU'AUREZ-VOUS À M'OBJECTER si je vous rends un jour vict","apporterais sans aucun danger ET QUE POUR UN SERVICE AUSSI ESSENTIEL JE RECEVRAIS PENDANT DEUX ANS UN ÉCU DE PLUS SUR MES GAGES. 
--OH MONSIEUR, M'ÉCRIAI-JE, EST-IL POSSIBLE QU'UN MAÎTRE OSE CORROMPRE AINSI SON DOMESTIQUE ? QUI M'EMPÊCHE DE FAIRE TOURNER CONTRE VOUS LES ARMES QUE VOUS ME METTEZ À LA MAIN ET QU'AUREZ-VOUS À M'OBJECTER de raisonnable si je vous vol","(46847, 47184)","(38055, 38360)"
Sade_Infortunes_53,"ès jusqu'à l'époque de la fin DE LA SECONDE ANNÉE DE MON SÉJOUR CHEZ LUI, SANS DIRE UN MOT ET SANS TÉMOIGNER LE PLUS LÉGER RESSENTIMENT DU REFUS QUE JE LUI AVAIS FAIT, LORSQU'UN SOIR, VENANT DE ME RETIRER DANS MA CHAMBRE POUR Y GOÛTER QUELQUES HEURES DE REPOS, J'ENTENDIS TOUT À COUP JETER MA PORTE EN DEDANS, ET VIS, NON SANS EFFROI, M. DU HARPIN CONDUISANT UN COMMISSAIRE ET QUATRE SOLDATS DU GUET PRÈS DE MON LIT. 
-- FAITES VOTRE DEVOIR, MONSIEUR, DIT-IL À L'HOMME DE JUSTICE; CETTE MALHEUREUSE M'A VOLÉ UN DIAMANT DE MILLE ÉCUS, VOUS LE RETROUVEREZ DANS SA CHAMBRE OU SUR ELLE, LE FAIT est certain. 
--Moi, vous avo","u'à l'époque de la révolution DE LA SECONDE ANNÉE DE MON SÉJOUR CHEZ LUI, SANS DIRE UN MOT, ET SANS TÉMOIGNER LE PLUS LÉGER RESSENTIMENT DU REFUS QUE JE LUI AVAIS FAIT, LORSQU'UN SOIR, MA BESOGNE FINIE, VENANT DE ME RETIRER DANS MA CHAMBRE POUR Y GOÛTER QUELQUES HEURES DE REPOS, J'ENTENDIS TOUT À COUP JETER MA PORTE EN DEDANS ET VIS NON SANS EFFROI M. DU HARPIN CONDUISANT UN COMMISSAIRE ET QUATRE SOLDATS DU GUET AUPRÈS DE MON LIT. 
-- FAITES VOTRE DEVOIR, MONSIEUR, DIT-IL À L'HOMME DE JUSTICE, CETTE MALHEUREUSE M'A VOLÉ UN DIAMANT DE MILLE ÉCUS, VOUS LE TROUVEREZ DANS SA CHAMBRE OU SUR ELLE, LE FAIT est inévitable. 
--Moi vous a","(48216, 48776)","(39455, 40031)"
Sade_Infortunes_54,"t quatre soldats du guet près DE MON LIT. 
-- FAITES VOTRE DEVOIR, MONSIEUR, DIT-IL À L'HOMME DE JUSTICE; CETTE MALHEUREUSE M'A VOLÉ UN DIAMANT DE MILLE ÉCUS, VOUS LE RETROUVEREZ DANS SA CHAMBRE OU SUR ELLE, LE FAIT est certain. 
--Moi, vous avo","quatre soldats du guet auprès DE MON LIT. 
-- FAITES VOTRE DEVOIR, MONSIEUR, DIT-IL À L'HOMME DE JUSTICE, CETTE MALHEUREUSE M'A VOLÉ UN DIAMANT DE MILLE ÉCUS, VOUS LE TROUVEREZ DANS SA CHAMBRE OU SUR ELLE, LE FAIT est inévitable. 
--Moi vous a","(48591, 48776)","(39848, 40031)"
Sade_Infortunes_55,"tte action me répugne et de l'IMPOSSIBILITÉ QU'IL Y A QUE JE L'AIE COMMISE ? 
MAIS DU HARPIN, FAISANT BEAUCOUP DE BRUIT POUR QUE MES PAROLES NE FUSSENT PAS ENTENDUES, CONTINUA D'ORDONNER LES PERQUISITIONS, ET LA MALHEUREUSE BAGUE FUT TROUVÉE DANS MON MATELAS. AVEC DES PREUVES DE CETTE FORCE, IL N'Y AVAIT PAS À RÉPLIQUER; JE FUS À L'INSTANT SAISIE, GARROTTÉE ET CONDUITE en prison, sans qu'il me fût "," telle action me répugne et l'IMPOSSIBILITÉ QU'IL Y A QUE JE L'AIE COMMISE MAIS M. DU HARPIN FAISANT BEAUCOUP DE BRUIT, POUR QUE MES PAROLES NE FUSSENT PAS ENTENDUES, CONTINUA D'ORDONNER LES PERQUISITIONS, ET LA MALHEUREUSE BAGUE FUT TROUVÉE DANS UN DE MES MATELAS. AVEC DES PREUVES DE CETTE FORCE IL N'Y AVAIT PAS À RÉPLIQUER, JE FUS À L'INSTANT SAISIE, GARROTTÉE ET CONDUITE ignominieusement dans la pris","(49019, 49360)","(40219, 40565)"
Sade_Infortunes_56,"t devient alors démontrée. 
J'EUS BEAU ME DÉFENDRE, J'EUS BEAU FOURNIR LES MEILLEURS MOYENS À L'AVOCAT DE FORME QU'ON ME DONNA POUR UN INSTANT, MON MAÎTRE M'ACCUSAIT, LE DIAMANT S'ÉTAIT TROUVÉ DANS MA CHAMBRE; IL ÉTAIT CLAIR QUE JE L'AVAIS VOLÉ. LORSQUE JE VOULUS CITER LE TRAIT HORRIBLE DE M. DU HARPIN, ET PROUVER QUE LE MALHEUR QUI M'ARRIVAIT N'ÉTAIT que le fruit de sa vengeance ","t démontrée tout de suite. 
J'EUS BEAU ME DÉFENDRE, J'EUS BEAU FOURNIR LES MEILLEURS MOYENS À L'AVOCAT DE FORME QU'ON ME DONNA POUR UN INSTANT, MON MAÎTRE M'ACCUSAIT, LE DIAMANT S'ÉTAIT TROUVÉ DANS MA CHAMBRE, IL ÉTAIT CLAIR QUE JE L'AVAIS VOLÉ. LORSQUE JE VOULUS CITER LE TRAIT HORRIBLE DE M. DU HARPIN ET PROUVER QUE LE MALHEUR QUI M'ARRIVAIT N'ÉTAIT qu'une suite de la vengeance ","(49942, 50265)","(41247, 41569)"
Sade_Infortunes_57,"é. 
Je vous l'ai dit, madame, LA MAIN DU CIEL QUI VENAIT DE PUNIR L'INNOCENCE DANS MOI, SERVIT LE CRIME DANS MA PROTECTRICE; LE FEU PRIT, L'INCENDIE FUT HORRIBLE, IL Y EUT VINGT ET UNE PERSONNES DE BRÛLÉES, MAIS NOUS NOUS SAUVÂMES. DÈS LE MÊME JOUR NOUS GAGNÂMES LA CHAUMIÈRE D'UN BRACONNIER DE LA FORÊT DE BONDY, INTIME ami de notre bande. 
--Te voi","je te réponds de ta liberté. 
LA MAIN DU CIEL QUI VENAIT DE PUNIR L'INNOCENCE DANS MOI SERVIT LE CRIME DANS MA PROTECTRICE, LE FEU PRIT, L'INCENDIE FUT HORRIBLE, IL Y EUT DIX PERSONNES DE BRÛLÉES, MAIS NOUS NOUS SAUVÂMES; DÈS LE MÊME JOUR NOUS GAGNÂMES LA CHAUMIÈRE D'UN BRACONNIER DE LA FORÊT DE BONDY, ESPÈCE de fripon différent, mais des","(52238, 52528)","(42988, 43268)"
Sade_Infortunes_58,"--Te voilà libre, Thérèse, me DIT ALORS LA DUBOIS, TU PEUX MAINTENANT CHOISIR TEL GENRE DE VIE QU'IL TE PLAIRA, MAIS SI J'AI UN CONSEIL À TE DONNER, C'EST DE RENONCER À DES PRATIQUES DE VERTU QUI, COMME TU VOIS, NE T'ONT JAMAIS RÉUSSI; UNE DÉLICATESSE DÉPLACÉE t'a conduite aux pieds de l'é","là libre, ma chère Sophie, me DIT ALORS LA DUBOIS, TU PEUX MAINTENANT CHOISIR TEL GENRE DE VIE QU'IL TE PLAIRA, MAIS SI J'AI UN CONSEIL À TE DONNER, C'EST DE RENONCER À DES PRATIQUES DE VERTU QUI COMME TU VOIS NE FONT JAMAIS RÉUSSI; UNE DÉLICATESSE DÉPLACÉE t'a conduite au pied de l'éch","(52580, 52810)","(43367, 43594)"
Sade_Infortunes_59,"ranquillité que je désire. 
--VOILÀ DES SYSTÈMES ABSURDES QUI TE CONDUIRONT BIENTÔT À L'HÔPITAL, MA FILLE, DIT LA DUBOIS EN FRONÇANT LE SOURCIL; CROIS-MOI, LAISSE LÀ LA justice de Dieu, ses châtimen","re à ceux qui l'outragent. 
--VOILÀ DES SYSTÈMES ABSURDES QUI TE CONDUIRONT BIENTÔT À L'HÔPITAL, MA FILLE, DIT LA DUBOIS EN FRONÇANT LE SOURCIL, CROIS-MOI, LAISSE LÀ LA justice céleste, tes châtimen","(54556, 54694)","(45487, 45625)"
Sade_Infortunes_60,"ur, et les vertus pourront s'éTABLIR DANS LE NÔTRE; MAIS TANT QUE NOTRE INFORTUNE, NOTRE PATIENCE À LA SUPPORTER, NOTRE BONNE FOI, NOTRE ASSERVISSEMENT, NE SERVIRONT QU'À DOUBLER NOS FERS, NOS CRIMES DEVIENDRONT LEUR OUVRAGE, ET NOUS SERIONS BIEN DUPES DE NOUS LES REFUSER quand ils peuvent amoindrir l",", et les vertus pourraient s'éTABLIR DANS LE NÔTRE, MAIS TANT QUE NOTRE INFORTUNE, NOTRE PATIENCE À LA SUPPORTER, NOTRE BONNE FOI, NOTRE ASSERVISSEMENT NE SERVIRONT QU'À DOUBLER NOS FERS, NOS CRIMES DEVIENDRONT LEUR OUVRAGE ET NOUS SERIONS BIEN DUPES DE NOUS LES REFUSER pour amoindrir un peu le joug","(55003, 55245)","(46009, 46249)"
Sade_Infortunes_61,"t naître tous égaux, Thérèse; SI LE SORT SE PLAÎT À DÉRANGER CE PREMIER PLAN DES LOIS GÉNÉRALES, C'EST À NOUS D'EN CORRIGER LES CAPRICES ET DE RÉPARER, PAR NOTRE ADRESSE, LES USURPATIONS DU PLUS FORT. J'AIME À LES ENTENDRE, CES GENS RICHES, ces gens titrés, ces magistr","it naître tous égaux, Sophie; SI LE SORT SE PLAÎT À DÉRANGER CE PREMIER PLAN DES LOIS GÉNÉRALES, C'EST À NOUS D'EN CORRIGER LES CAPRICES, ET DE RÉPARER PAR NOTRE ADRESSE LES USURPATIONS DES PLUS FORTS... J'AIME À LES ENTENDRE, CES GENS RICHES, ces juges, ces magistrats, j","(55366, 55575)","(46353, 46565)"
Sade_Infortunes_62,"es magistrats, ces prêtres, j'AIME À LES VOIR NOUS PRÊCHER LA VERTU IL EST BIEN DIFFICILE DE SE GARANTIR DU VOL QUAND ON A TROIS FOIS plus qu'il ne faut pour vivre"," ces juges, ces magistrats, j'AIME À LES VOIR NOUS PRÊCHER LA VERTU; IL EST BIEN DIFFICILE DE SE GARANTIR DU VOL QUAND ON A TROIS FOIS qu'il ne faut pour vivre, bie","(55625, 55728)","(46596, 46700)"
Sade_Infortunes_63," mon enfant, et convaincs-toi QUE DÈS QU'ELLE NOUS PLACE DANS UNE SITUATION OÙ LE MAL NOUS DEVIENT NÉCESSAIRE, ET QU'ELLE NOUS LAISSE EN MÊME TEMPS LA POSSIBILITÉ DE L'EXERCER, C'EST QUE CE MAL SERT À SES LOIS COMME LE BIEN, ET QU'ELLE GAGNE AUTANT À L'UN QU'À L'AUTRE; L'ÉTAT OÙ ELLE NOUS A CRÉÉS EST L'ÉGALITÉ, CELUI QUI LE DÉRANGE N'EST PAS PLUS COUPABLE QUE CELUI QUI CHERCHE À LE RÉTABLIR; TOUS DEUX AGISSENT D'APRÈS LES IMPULSIONS REÇUES, TOUS DEUX DOIVENT LES suivre et jouir. 
Je l'avoue,","a mieux et convaincs-toi bien QUE DÈS QU'ELLE NOUS PLACE DANS UNE SITUATION OÙ LE MAL NOUS DEVIENT NÉCESSAIRE, ET QU'ELLE NOUS LAISSE EN MÊME TEMPS LA POSSIBILITÉ DE L'EXERCER, C'EST QUE CE MAL SERT SES LOIS COMME LE BIEN ET QU'ELLE GAGNE AUTANT À L'UN QU'À L'AUTRE. 
L'ÉTAT OÙ ELLE NOUS CRÉE EST L'ÉGALITÉ, CELUI QUI LE DÉRANGE N'EST PAS PLUS COUPABLE QUE CELUI QUI CHERCHE À LE RÉTABLIR, TOUS DEUX AGISSENT D'APRÈS DES IMPULSIONS REÇUES, TOUS DEUX DOIVENT LES suivre, se mettre un bandeau ","(57091, 57527)","(48047, 48478)"
Sade_Infortunes_64," tous deux doivent les suivre ET JOUIR. 
JE L'AVOUE, SI JAMAIS JE FUS ÉBRANLÉE, CE FUT PAR LES SÉDUCTIONS DE CETTE FEMME ADROITE; MAIS UNE VOIX, PLUS FORTE QU'ELLE, COMBATTAIT SES SOPHISMES DANS MON CŒUR; JE m'y rendis, je déclarai à la ","ettre un bandeau sur les yeux ET JOUIR. 
JE L'AVOUE, SI JAMAIS JE FUS ÉBRANLÉE, CE FUT PAR LES SÉDUCTIONS DE CETTE FEMME ADROITE, MAIS UNE VOIX PLUS FORTE QU'ELLE COMBATTAIT SES SOPHISMES DANS MON CŒUR, JE l'écoutai et je déclarai pour","(57535, 57712)","(48521, 48696)"
Sade_Infortunes_65,"grâce aux conditions que tu t'EN RENDRAS DIGNE. 
--HÉLAS MADAME, QUE FAUT-IL FAIRE ? M'ÉCRIAI-JE EN LARMES, ORDONNEZ-MOI, JE SUIS TOUTE PRÊTE. 
--NOUS SUIVRE, t'enrôler avec nous, et comm","obtenir ta grâce si tu veux t'EN RENDRE DIGNE. 
--HÉLAS, MADAME, QUE FAUT-IL FAIRE ? M'ÉCRIAI-JE EN LARMES, ORDONNEZ-MOI, JE SUIS TOUTE PRÊTE. 
--NOUS SUIVRE, prendre parti avec nous et c","(59843, 59970)","(50982, 51109)"
Sade_Infortunes_66," madame, dis-je promptement à LA DUBOIS, J'IRAI PARTOUT, JE VOUS LE PROMETS; SAUVEZ-MOI DE LA FUREUR DE CES HOMMES, ET JE NE VOUS QUITTERAI DE MA VIE. 
--ENFANTS, DIT LA DUBOIS AUX QUATRE BANDITS, CETTE FILLE EST DE LA TROUPE, JE L'Y REÇOIS, JE L'Y INSTALLE; JE VOUS SUPPLIE de ne point lui faire de viol","rai partout, madame, dis-je à LA DUBOIS, J'IRAI PARTOUT, JE VOUS LE PROMETS, SAUVEZ-MOI DE LA FUREUR DE CES HOMMES ET JE NE VOUS QUITTERAI JAMAIS. 
--ENFANTS, DIT LA DUBOIS AUX QUATRE BANDITS, CETTE FILLE EST DE LA TROUPE; JE L'Y REÇOIS, JE L'Y INSTALLE; JE VOUS DÉFENDS de lui faire violence, ne la ","(60416, 60660)","(51492, 51732)"
Sade_Infortunes_67,"goûtons pas du métier dès les PREMIERS JOURS; VOUS VOYEZ COMME SON ÂGE ET SA FIGURE PEUVENT NOUS ÊTRE UTILES, SERVONS-NOUS-EN POUR NOS INTÉRÊTS, ET NE LA SACRIFIONS PAS À NOS PLAISIRS. 
MAIS LES PASSIONS ONT UN DEGRÉ d'énergie dans l'homme où rie","égoûtons pas du métier dès le PREMIER JOUR; VOUS VOYEZ COMME SON ÂGE ET SA FIGURE PEUVENT NOUS ÊTRE UTILES, SERVONS-NOUS-EN POUR NOS INTÉRÊTS, ET NE LA SACRIFIONS PAS À NOS PLAISIRS... 
MAIS LES PASSIONS ONT UN DEGRÉ dans l'homme, où nulle voix n","(60734, 60920)","(51793, 51979)"
Sade_Infortunes_68,"nt les hommes à leur exemple, QUELLE DIFFÉRENCE Y A-T-IL MAINTENANT ENTRE ELLES ET MOI ? EST-CE DONC LA PEINE DE NAÎTRE POUR UN SORT AUSSI PITOYABLE ?... ET MES LARMES COULÈRENT AVEC ABONDANCE EN FAISANT CES TRISTES RÉFLEXIONS; JE LES FINISSAIS À PEINE, LORSQUE J'ENTENDIS DU BRUIT AUTOUR DE moi; peu à peu, je distingue ","uyant les hommes comme elles, QUELLE DIFFÉRENCE Y A-T-IL MAINTENANT ENTRE ELLES ET MOI ? EST-CE DONC LA PEINE DE NAÎTRE POUR UN SORT AUSSI PITOYABLE ET MES LARMES COULÈRENT AVEC ABONDANCE EN FORMANT CES TRISTES RÉFLEXIONS. JE LES FINISSAIS À PEINE, LORSQUE J'ENTENDIS DU BRUIT AUTOUR DE moi; un instant je crus que c","(107508, 107769)","(54235, 54491)"
